"ORIGINAL"	"DBFIELD"
"ContractFolderStatus.TenderingTerms.ProcurementLegislationDocumentReference.ID"	"Proceso_de_licitacion/Directiva_Europea_de_Aplicacion"
"ContractFolderStatus.TenderingProcess.OverThresholdIndicator"	"Proceso_de_Participacion/OverThresholdIndicator"
"ContractFolderStatus.TenderingTerms.TenderRecipientParty.EndpointID"	"Proceso_de_licitacion/Medio_de_Presentacion_de_Ofertas_Electronicas"
"ContractFolderStatus.LocatedContractingParty.Party.PartyIdentification.ID"	"Entidad_Adjudicadora/ID"
"ContractFolderStatus.LocatedContractingParty.Party.PartyName.Name"	"Entidad_Adjudicadora/Nombre"
"ContractFolderStatus.LocatedContractingParty.ContractingPartyTypeCode"	"Entidad_Adjudicadora/Tipo_de_Administracion"
"ContractFolderStatus.LocatedContractingParty.Party.WebsiteURI"	"Entidad_Adjudicadora/Sitio_Web"
"ContractFolderStatus.LocatedContractingParty.Party.PostalAddress.AddressLine.Line"	"Entidad_Adjudicadora/Calle"
"ContractFolderStatus.LocatedContractingParty.Party.PostalAddress.PostalZone"	"Entidad_Adjudicadora/Codigo_Postal"
"ContractFolderStatus.LocatedContractingParty.Party.PostalAddress.CityName"	"Entidad_Adjudicadora/Poblacion"
"ContractFolderStatus.LocatedContractingParty.Party.PostalAddress.Country.Name"	"Entidad_Adjudicadora/Pais"
"ContractFolderStatus.LocatedContractingParty.Party.PostalAddress.Country.IdentificationCode"	"Entidad_Adjudicadora/Nombre_para_contacto"
"ContractFolderStatus.LocatedContractingParty.Party.Contact.Name"	"Entidad_Adjudicadora/Telefono"
"ContractFolderStatus.LocatedContractingParty.Party.Contact.Telephone"	"Entidad_Adjudicadora/Fax"
"ContractFolderStatus.LocatedContractingParty.Party.Contact.Telefax"	"Entidad_Adjudicadora/Telefax"
"ContractFolderStatus.LocatedContractingParty.Party.Contact.ElectronicMail"	"Entidad_Adjudicadora/Correo_Electronico"
"ContractFolderStatus.LocatedContractingParty.ActivityCode"	"Entidad_Adjudicadora/Actividad"
"ContractFolderStatus.LocatedContractingParty.BuyerProfileURIID"	"Entidad_Adjudicadora/URL_perfil_de_contratante"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora/Ubicacion_organica/Nombre"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"
"ContractFolderStatus.LocatedContractingParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.ParentLocatedParty.PartyName.Name"	"Entidad_Adjudicadora_Jerarquia/Ubicacion_organica/Nombre"
